漢字,解説・構成
欷,欠（かける・あくび・けんづくり）に希
鵐,鳥（とり）に巫
妖,おんなへんに夭
岢,山（やま・やまかんむり）に可
傒,亻（にんべん）に奚
癬,疒（やまいだれ）に鮮
癬,疒（やまいだれ）に魚に羊
蓜,艹（くさかんむり）に配
蓜,艹（くさかんむり）に酉に己
懟,心（こころ）に對
詰,言（ごんべん）に吉
詰,「キツ」は高校で習う読み方です。
禩,しめすへんに異
渥,さんずいに屋
奕,大（だい）に亦
掽,扌（てへん）に
梅,きへんに毎
邢,おおざとに开
剔,りっとうに易
剔,りっとうに日に勿
鐄,金（かねへん）に黃
眊,目（めへん）に毛
轍,車（くるまへん）に育に攵
萓,くさかんむりに宜
笶,竹（たけかんむり）に矢
弶,弓（ゆみへん）に京
颭,風（かぜ）に占
艙,舟（ふねへん）に倉
捨,てへんに舎
瞔,目（めへん）に責
巠,巛（まがりかわ）に一に工
迂,しんにょう・しんにゅうに于
瀧,さんずいに龍
齘,齒（はへん）に介
浄,さんずいに争
尠,甚に少
榑,木（きへん）に尃
憮,りっしんべんに無
楼,きへんに娄
楼,きへんに米に女
鰱,魚（うおへん）に
樌,木（きへん）に貫
闓,門（もんがまえ・かどがまえ）に豈
凃,冫（にすい）に余
糅,米（こめへん）に柔
珏,おうへん・たまへんに玉
抑,てへんに卬
蝦,虫（むしへん）に叚
銛,金（かねへん）に舌
窶,穴（あなかんむり）に婁
䜌,言（げん・ことば）に絲
䜌,糸に言に糸
碗,石（いしへん）に宛
慫,心（こころ）に從
鰲,魚（うお）に敖
韵,おとへんに匀
奮,だいかんむり・だいがしらに隹に田
奮,奞に田
焃,火（ひへん）に赤
芫,くさかんむりに元
珊,王（おうへん・たまへん）に冊
薫,くさかんむりに重に灬
薫,「クン」は高校で習う読み方です。
暃,日（ひ・にち）に非
帳,はばへん・きんべんに長
濃,さんずいに農
欅,木（きへん）に擧
靂,雨（あめかんむり）に歷
毗,比（ならびひ・くらべる）に田
嗑,口（くちへん）に盍
嗑,口（くちへん）に去に皿
