漢字,異体字
冭,𣳾
冭,㤗
署,署
𣏓,朽
植,㯰
勇,勈
華,蕐
華,华
徙,𨑒
梼,檮
健,徤
晴,晴
栃,杤
恠,怪
鹹,醎
歷,歴
歷,厯
歷,𠪱
弍,二
麵,麺
麵,麪
財,戝
鑓,𨯯
畱,留
畱,畄
硏,研
冉,冄
獯,𤣐
濵,浜
濵,濱
㟁,岸
㟁,𡶜
繁,繁
繁,䋣
史,㕜
鄜,𨞻
崗,岡
崗,堽
崗,冈
崗,岗
莽,莾
𨯯,鑓
涉,渉
過,过
栲,𣑥
旒,旈
驘,騾
貍,狸
録,錄
蒋,蔣
亟,焏
蔭,䕃
蔭,𦹥
弽,韘
嶗,崂
醫,医
醫,毉
更,㪅
関,關
関,闗
説,說
雪,䨮
蟁,蚊
蟁,蚉
弛,㢮
竪,豎
灯,燈
惕,悐
郤,郄
閉,閇
䌫,纜
宿,㝛
𪘂,囓
𪘂,齧
皹,皸
膣,腟
奧,奥
檗,蘗
檗,檘
渋,澁
渋,澀
嵯,嵳
䬻,餞
帽,㡌
対,對
対,对
藤,䕨
福,福
懇,恳
爭,争
來,来
衂,衄
熖,焰
熖,焔
熖,燄
熖,㷔
皷,鼓
皷,鼔
欠,缺
欠,缼
欠,𡙇
懕,㦔
懕,恹
懕,懨
医,醫
医,毉
償,偿
裸,躶
党,黨
劫,刧
劫,刦
劫,刼
𩜙,饒
抵,拞
𥔎,碕
刧,劫
刧,刦
刧,刼
夘,卯
夘,戼
榲,榅
臺,台
臺,䑓
臺,坮
蚋,蜹
熢,烽
熢,㷭
唐,啺
擲,掷
灰,𤆆
税,稅
湌,餐
偀,英
𣘺,橋
𣘺,槗
𣘺,桥
橋,𣘺
橋,槗
橋,桥
歺,歹
窗,窓
窗,窻
窗,牕
窗,䆫
穗,穂
朮,术
器,器
器,噐
継,繼
継,㡭
鴬,鶯
鴬,鸎
慣,惯
枩,松
枩,柗
枩,梥
枩,㮤
枩,枀
鵲,䧿
豈,岂
喩,喻
摯,挚
顏,顔
囉,啰
猟,獵
猟,𤢪
檢,検
檢,检
𣇃,舂
𣇃,㫪
毀,毁
稟,禀
壯,壮
飃,飄
涅,𣵀
岷,崏
岷,㟭
岷,㞶
罐,缶
閇,閉
勢,㔟
勢,势
顯,顕
顯,显
睥,睤
驂,騑
尅,剋
懍,懔
閴,闃
衄,衂
膝,厀
宅,㡯
碕,𥔎
浜,濱
浜,濵
因,囙
歘,欻
醱,醗
嚕,噜
輿,轝
鵞,鵝
纎,繊
纎,纖
遅,遲
遅,遟
嶲,雟
嶲,巂
絋,纊
崙,崘
缺,欠
缺,缼
缺,𡙇
導,导
壠,壟
壠,垄
壠,垅
慎,愼
慎,眘
纏,纒
瓶,甁
煮,煮
煮,煑
楫,檝
餞,䬻
臥,卧
嘰,叽
璽,壐
璽,玺
嬙,嫱
塲,場
塲,场
映,暎
拂,払
響,響
響,响
鬢,鬂
鬢,髩
恤,䘏
恤,卹
糴,籴
黒,黑
姒,娰
䠖,趦
䠖,趑
祝,祝
