漢字,音訓,読み方,表内読み
盱,音,ク,,表内読み
栻,音,ショク,,表内読み
栻,音,シキ,,表内読み
斄,音,リ,,表内読み
斄,音,ライ,,表内読み
鯔,訓,ぼら,,表内読み
鯔,訓,いな,,表内読み
鯔,音,シ,,表内読み
呻,訓,うめ,く,表内読み
呻,訓,うな,る,表内読み
呻,音,シン,,表内読み
您,訓,なんじ,,表内読み
您,音,ニン,,表内読み
殪,訓,たお,す,表内読み
殪,訓,たお,れる,表内読み
殪,訓,ころ,す,表内読み
殪,訓,し,ぬ,表内読み
殪,音,エイ,,表内読み
本,訓,もと,,表内読み
本,音,ホン,,表内読み
飫,訓,あ,きる,表内読み
飫,訓,さかも,り,表内読み
飫,音,ヨ,,表内読み
飫,音,オ,,表内読み
鰻,訓,うなぎ,,表内読み
鰻,音,バン,,表内読み
鰻,音,マン,,表内読み
俚,訓,いや,しい,表内読み
俚,訓,ひな,,表内読み
俚,音,リ,,表内読み
𠗖,訓,さこ,,表内読み
𠗖,訓,にご,,表内読み
蘀,音,タク,,表内読み
績,訓,つむ,ぐ,表外読み
績,訓,う,む,表外読み
績,訓,いさお,,表外読み
績,音,セキ,,表内読み
賭,訓,か,ける,表内読み
賭,訓,かけ,,表外読み
賭,音,ト,,表内読み
㗅,音,コ,,表内読み
藦,音,マ,,表内読み
藦,音,バ,,表内読み
刮,訓,けず,る,表内読み
刮,訓,こそ,げる,表内読み
刮,訓,こす,る,表内読み
刮,音,カツ,,表内読み
暝,訓,くら,い,表内読み
暝,訓,かす,か,表内読み
暝,訓,く,れる,表内読み
暝,音,メイ,,表内読み
暝,音,ミョウ,,表内読み
乗,訓,の,る,表内読み
乗,訓,の,せる,表内読み
乗,音,ジョウ,,表内読み
乗,音,ショウ,,表外読み
亥,訓,い,,表内読み
亥,音,ガイ,,表内読み
非,訓,あら,ず,表外読み
非,訓,そし,る,表外読み
非,訓,わる,い,表外読み
非,音,ヒ,,表内読み
炙,訓,あぶ,る,表内読み
炙,訓,や,く,表内読み
炙,音,シャ,,表内読み
炙,音,セキ,,表内読み
窕,訓,ふか,い,表内読み
窕,訓,あで,やか,表内読み
窕,音,チョウ,,表内読み
窕,音,ヨウ,,表内読み
坴,音,リク,,表内読み
坴,音,ロク,,表内読み
慊,訓,あきた,りない,表内読み
慊,訓,あきた,りる,表内読み
慊,音,ケン,,表内読み
慊,音,キョウ,,表内読み
屈,訓,かが,む,表外読み
屈,訓,かが,める,表外読み
屈,訓,こご,まる,表外読み
屈,音,クツ,,表内読み
労,訓,はたら,く,表外読み
労,訓,つか,れる,表外読み
労,訓,ねぎら,う,表外読み
労,訓,いたわ,る,表外読み
労,音,ロウ,,表内読み
𠍱,訓,あつ,まる,表内読み
𠍱,訓,あつ,める,表内読み
𠍱,訓,つど,う,表内読み
𠍱,訓,すだ,く,表内読み
𠍱,訓,たか,る,表内読み
𠍱,音,シュウ,,表内読み
嫠,訓,やもめ,,表内読み
嫠,音,リ,,表内読み
詒,訓,あざむ,く,表内読み
詒,訓,おく,る,表内読み
詒,訓,のこ,す,表内読み
詒,音,タイ,,表内読み
詒,音,イ,,表内読み
顛,訓,いただき,,表内読み
顛,訓,たお,れる,表内読み
顛,訓,くつがえ,る,表内読み
顛,音,テン,,表内読み
聒,訓,かまびす,しい,表内読み
聒,訓,おろ,か,表内読み
聒,音,カツ,,表内読み
熾,訓,さか,ん,表内読み
熾,訓,おこ,す,表内読み
熾,訓,おき,,表内読み
熾,音,シ,,表内読み
瞬,訓,またた,く,表内読み
瞬,訓,まばた,く,表外読み
瞬,音,シュン,,表内読み
邂,訓,あ,う,表内読み
邂,音,カイ,,表内読み
椰,訓,やし,,表内読み
椰,音,ヤ,,表内読み
眛,訓,くら,い,表内読み
眛,音,マイ,,表内読み
眛,音,バイ,,表内読み
吐,訓,は,く,表内読み
吐,訓,つ,く,表外読み
吐,訓,ぬ,かす,表外読み
吐,音,ト,,表内読み
桧,訓,ひのき,,表内読み
桧,音,カイ,,表内読み
貪,訓,むさぼ,る,表内読み
貪,音,ドン,,表内読み
貪,音,タン,,表外読み
晥,音,カン,,表内読み
磦,音,ヒョウ,,表内読み
贈,訓,おく,る,表内読み
贈,音,ゾウ,,表内読み
贈,音,ソウ,,表内読み
憫,訓,あわ,れむ,表内読み
