漢字,関連項目
什,伍
乾,震
乾,離
乾,巽
乾,坤
乾,艮
乾,兌
乾,坎
秋,夏
秋,春
秋,冬
瀾,漣
鯢,鯨
芎,藭
瓱,瓧
瓱,瓩
瓱,瓲
瓱,瓰
瓱,瓸
瓱,甅
菠,薐
獬,豸
胱,膀
畎,淄
磲,硨
男,子
男,公
男,侯
男,伯
粍,米
粍,粁
粍,糎
粍,粍
酉,子
酉,午
酉,申
酉,未
酉,丑
酉,亥
酉,卯
酉,寅
酉,巳
酉,辰
酉,酉
酉,戌
霻,霳
乙,丁
乙,己
乙,甲
乙,辛
乙,丙
乙,壬
乙,庚
乙,戊
乙,癸
拾,拾
拾,参
拾,陸
拾,壱
拾,漆
拾,弐
拾,伍
拾,玖
拾,捌
拾,肆
蓺,芸
蓺,藝
鴦,鴛
鮲,鯒
舴,艋
薢,萆
䧧,岌
騊,駼
嫦,姮
吩,噻
茱,萸
芣,苡
東,西
東,南
東,北
繞,構
繞,垂
繞,冠
繞,脚
繞,偏
繞,旁
繞,繞
蟀,蟋
公,子
公,男
公,侯
公,伯
靆,靉
箕,女
箕,角
箕,牛
箕,室
箕,心
箕,星
箕,胃
箕,参
箕,張
箕,危
箕,鬼
箕,虚
箕,井
箕,斗
箕,尾
箕,壁
箕,房
箕,翼
箕,柳
箕,奎
箕,昴
箕,畢
箕,婁
箕,亢
箕,觜
箕,軫
箕,氐
鷯,鷦
巽,乾
巽,震
巽,離
巽,坤
巽,艮
巽,兌
巽,坎
鶿,鵜
蠼,螋
酇,里
酇,隣
羖,羭
奎,女
奎,角
奎,牛
奎,室
奎,心
奎,星
奎,胃
奎,参
奎,張
奎,危
奎,鬼
奎,虚
奎,井
奎,斗
奎,尾
奎,壁
奎,房
奎,翼
奎,柳
奎,昴
奎,畢
奎,箕
奎,婁
奎,亢
奎,觜
奎,軫
奎,氐
吽,阿
韆,鞦
瓰,瓧
瓰,瓩
瓰,瓲
瓰,瓱
瓰,瓸
瓰,甅
恃,怙
蛉,蜻
辰,子
辰,午
辰,申
辰,未
辰,丑
辰,亥
辰,卯
辰,寅
辰,巳
辰,辰
辰,酉
辰,戌
竕,竍
竕,竏
竕,竕
竕,竓
竕,竡
竕,竰
愺,恅
氐,女
氐,角
氐,牛
氐,室
氐,心
氐,星
氐,胃
氐,参
氐,張
氐,危
氐,鬼
氐,虚
氐,井
氐,斗
氐,尾
氐,壁
氐,房
氐,翼
氐,柳
氐,奎
氐,昴
氐,畢
氐,箕
氐,婁
氐,亢
氐,觜
氐,軫
離,乾
離,震
離,巽
離,坤
離,艮
離,兌
離,坎
四,一
四,九
四,三
四,四
四,七
四,十
四,二
四,八
四,六
四,五
