漢字,名乗り訓
居,おり
居,さや
居,すえ
居,やす
居,より
巨,お
巨,おお
巨,なお
巨,まさ
巨,み
拠,より
挙,しげ
挙,たか
挙,たつ
挙,ひら
許,もと
許,ゆく
魚,いお
魚,うお
魚,お
魚,な
亨,あき
亨,あきら
亨,すすむ
亨,ちか
亨,とおる
亨,とし
亨,なお
亨,なが
亨,なり
亨,みち
亨,ゆき
享,あきら
享,すすむ
享,たか
享,つら
享,みち
享,ゆき
京,あつ
京,おさむ
京,たかし
京,ちか
京,ひろし
供,とも
競,きそう
共,たか
共,とも
協,かのう
協,やす
匡,たすく
匡,ただ
匡,ただし
匡,ただす
匡,まさ
匡,まさし
卿,あき
卿,あきら
卿,のり
喬,すけ
喬,たか
喬,たかし
喬,ただ
喬,のぶ
喬,もと
境,さかい
強,あつ
強,かつ
強,こわ
強,すね
強,たけ
強,つとむ
強,つよ
強,つよし
恭,うや
恭,すみ
恭,たか
恭,たかし
恭,ただ
恭,ただし
恭,ちか
恭,つか
恭,のり
恭,みつ
恭,やす
恭,やすし
恭,ゆき
恭,よし
挟,さし
挟,もち
教,おしえ
教,かず
教,こ
教,たか
教,なり
教,のり
教,みち
教,ゆき
橋,たか
橋,はし
狂,よし
狭,さ
矯,いさみ
矯,たけし
矯,ただ
胸,むね
興,おき
興,き
興,さかり
興,さかん
興,さき
興,とも
興,ふか
興,ふさ
郷,あき
郷,あきら
郷,さと
郷,のり
鏡,あき
鏡,あきら
鏡,かがみ
鏡,かね
鏡,とし
鏡,み
響,おと
響,ひびき
驚,とし
仰,たか
仰,もち
凝,こおる
凝,こり
尭,あき
尭,たか
尭,たかし
尭,のり
暁,あかつき
暁,あき
暁,あきら
暁,あけ
暁,さとし
暁,さとる
暁,とき
暁,とし
業,おき
業,かず
業,くに
業,なり
業,のぶ
業,のり
業,はじめ
業,ふさ
局,ちか
局,つぼね
曲,くま
曲,のり
極,きわ
極,きわむ
極,きわめ
極,なか
極,むね
玉,きよ
玉,たま
桐,きり
桐,ひさ
僅,よし
勤,いそ
