漢字,異体字
亮,𠅙
両,兩
両,㒳
両,两
涼,凉
猟,獵
猟,𤢪
緑,綠
倫,伦
臨,临
隣,鄰
隣,厸
鱗,𩼩
瑠,璢
塁,壘
涙,淚
涙,泪
累,纍
累,絫
類,類
励,勵
礼,禮
隷,隸
霊,靈
霊,灵
霊,䨩
霊,㚑
霊,霛
麗,䴡
麗,婯
齢,齡
暦,曆
歴,歷
歴,厯
歴,𠪱
列,𠛱
廉,亷
恋,戀
練,練
聯,聨
錬,鍊
呂,吕
櫓,樐
櫓,橹
櫓,㯭
炉,爐
労,勞
労,劳
婁,𡝤
婁,娄
廊,廊
弄,挊
弄,挵
朗,朗
朗,朖
楼,樓
篭,籠
蝋,蠟
蝋,䗶
郎,郞
禄,祿
録,錄
和,龢
和,咊
脇,𦚰
脇,䏮
湾,灣
碗,盌
弌,一
乘,乗
乘,椉
亂,乱
豫,予
亊,事
亊,㕝
亊,叓
弍,二
于,亏
于,亐
亞,亜
亞,亚
亟,焏
亰,京
从,従
从,從
仞,仭
仭,仞
佛,仏
佇,伫
來,来
侖,仑
儘,侭
俔,伣
俔,悓
俎,爼
俥,伡
倚,𠋣
倅,伜
伜,倅
們,们
倆,𠈓
倆,俩
假,仮
會,会
會,㑹
偬,傯
偬,倊
偸,偷
傚,俲
傴,伛
僉,㑒
僉,佥
僊,僲
傳,伝
傳,传
僂,偻
僞,偽
僞,伪
僥,侥
僭,僣
僣,僭
價,価
儉,倹
儉,俭
儁,㒞
儂,侬
儕,㑪
儕,侪
儔,俦
儔,𠍻
儚,𠐧
儺,傩
儷,俪
儼,𠑊
儼,俨
儻,傥
兒,児
兒,𠒆
兌,兊
兌,兑
兔,兎
竸,競
竸,竞
兩,両
兩,㒳
兩,两
兪,俞
兮,𠔃
冀,兾
囘,回
囘,囬
册,冊
册,𠕁
冉,冄
冏,囧
冤,寃
冦,寇
冦,𡨥
冦,宼
冦,㓂
冢,𠣥
冩,写
冩,寫
冪,羃
冪,幂
决,決
冱,𠖱
冲,沖
冰,氷
况,況
凉,涼
凛,凜
處,処
處,䖏
處,处
凭,凴
凾,函
凾,圅
刄,刃
刧,劫
刧,刦
刪,删
刪,𠜂
刮,𠜜
刹,剎
剏,刱
剏,剙
剄,刭
剋,尅
剔,𠜓
剴,剀
剩,剰
剿,𠞰
剿,劋
劍,剣
劍,釼
劍,劔
劍,劒
劍,剱
劍,𠝏
劍,剑
劔,剣
劔,劍
劔,釼
劔,劒
劔,剱
劔,𠝏
劔,剑
劔,劎
劒,剣
劒,劍
劒,釼
劒,劔
劒,剱
劒,𠝏
劒,剑
劒,劎
剱,剣
剱,劍
剱,釼
剱,劔
剱,劒
剱,𠝏
剱,剑
剱,劎
劑,剤
劑,剂
辨,弁
辨,辧
辧,弁
辧,辨
勁,劲
勗,勖
勗,朂
勞,労
勞,劳
勳,勲
勳,勛
勳,勋
勵,励
勸,勧
勸,劝
匆,匇
匆,囪
匯,滙
匱,匮
匳,奩
匳,匲
匳,奁
區,区
卆,卒
卆,䘚
丗,世
丗,卋
卉,芔
卉,卉
卍,卐
凖,準
卮,巵
夘,卯
夘,戼
卻,却
卻,㕁
卷,巻
厖,庬
厠,廁
厠,厕
厦,廈
厮,廝
厰,廠
參,参
參,叅
參,叄
參,叁
簒,篡
雙,双
叟,叜
曼,㬅
燮,爕
吶,呐
吝,㖁
咏,詠
咒,呪
咢,㖾
咤,咜
咼,呙
啀,嘊
啣,銜
啣,㘅
啣,衘
啖,啗
啗,啖
喞,唧
單,単
單,𠦤
單,单
喩,喻
嗚,呜
嗅,齅
嗜,呩
嘔,呕
嗷,嗸
嘖,啧
噐,器
噐,器
營,営
嘸,呒
嘯,嘨
嘯,啸
嚀,咛
嚔,嚏
嚏,嚔
嚶,嘤
嚴,厳
嚴,严
囂,嚣
囂,嚻
囁,嗪
囀,啭
囈,呓
囑,嘱
囓,齧
囓,𪘂
圀,国
圀,國
圀,囶
圀,囯
圀,囻
圈,圏
國,国
國,圀
國,囶
國,囯
國,囻
