漢字,解説・構成
街,ぎょうがまえ・ゆきがまえに圭
街,彳に圭に亍
街,1989年に習う学年が変更されました。（六年生で習う漢字→四年生で習う漢字）
該,言（ごんべん）に亥
鎧,金（かねへん）に豈
骸,ほねへんに亥
骸,2010年11月30日に常用漢字に追加されました。
浬,さんずいに里
馨,香（か・かおり・においこう）に殸
馨,香（か・かおり・においこう）に声に殳
蛙,虫（むしへん）に圭
垣,つちへん・どへんに亘
柿,きへんに市
柿,2010年11月30日に常用漢字に追加されました。
蛎,虫（むしへん）に厉
鈎,金（かねへん）に勾
劃,りっとうに畫
劃,「画」が書きかえとして用いられる字。
嚇,くちへんに赫
嚇,くちへんに赤に赤
各,口（くち）に夂
各,「おのおの」は高校で習う読み方です。
廓,广（まだれ）に郭
廓,「郭」が書きかえとして用いられる字。
拡,てへんに広
撹,てへんに覚
格,きへんに各
格,「コウ」は高校で習う読み方です。
核,きへんに亥
獲,けものへんに蒦
確,いしへんに隺
確,「確」は書き順を間違えやすい漢字の一つです。→「確」の書き順（筆順）
穫,禾（のぎへん）に蒦
赫,赤（あか・あかへん）に赤
較,くるまへんに交
郭,おおざとに享
郭,「廓」の書きかえとして用いられる字。
閣,もんがまえ・かどがまえに各
隔,こざとへんに鬲
革,「かわ」は中学校で習う読み方です。
革,「革」は書き順を間違えやすい漢字の一つです。→「革」の書き順（筆順）
岳,山（やま）に丘
額,頁（おおがい・いちのかい）に各
顎,頁（おおがい・いちのかい）に咢
顎,2010年11月30日に常用漢字に追加されました。
掛,てへんに卦
笠,たけかんむりに立
樫,木（きへん）に堅
橿,木（きへん）に畺
梶,木（きへん）に尾
鰍,魚（うおへん・さかなへん）に秋
潟,さんずいに舄
潟,1981年に常用漢字に追加されました。
割,りっとうに害
割,「カツ」「さく」は中学校で習う読み方です。
恰,りっしんべんに合
括,てへんに舌
活,さんずいに舌
活,1989年に習う学年が変更されました。（三年生で習う漢字→二年生で習う漢字）
渇,「カツ」は高校で習う読み方です。
滑,さんずいに骨
葛,くさかんむりに曷
葛,「くず」は高校で習う読み方です。
葛,2010年11月30日に常用漢字に追加されました。
轄,くるまへんに害
鰹,魚（うおへん・さかなへん）に堅
叶,口（くちへん）に十
椛,木（きへん）に花
樺,木（きへん）に華
鞄,革（かわへん）に
株,きへんに朱
蒲,くさかんむりに浦
鎌,かねへんに兼
鎌,2010年11月30日に常用漢字に追加されました。
噛,口（くちへん）に歯
鴨,鳥（とり）に甲
栢,木（きへん）に百
茅,くさかんむりに矛
萱,くさかんむりに宣
粥,米（こめ）に弜
粥,弓に米弓
刈,りっとうに㐅
苅,くさかんむりに刈
瓦,「ガ」は高校で習う読み方です。
瓦,2010年11月30日に常用漢字に追加されました。
乾,𠦝に乞
冠,わかんむりに元に寸
刊,りっとうに干
勘,力（ちから）に甚
巻,わりふ・まげわりふに龹
巻,龹に己
巻,当サイトの部首では、「卩部」に分類していますが、「おのれ」に分類される場合もあります。
喚,くちへんに奐
堪,つちへん・どへんに甚
堪,「カン」は高校で習う読み方です。
姦,女（おんな）に女に女
姦,女（おんな）に奻
完,うかんむりに元
官,うかんむりに㠯
寛,うかんむりに莧
干,「ひる」は中学校で習う読み方です。
患,心（こころ）に串
患,「わずらう」は高校で習う読み方です。
感,心（こころ）に咸
感,「感」は書き順を間違えやすい漢字の一つです。→「感」の書き順（筆順）
慣,りっしんべんに貫
憾,りっしんべんに感
換,てへんに奐
柑,木（きへん）に甘
桓,木（きへん）に亘
棺,きへんに官
汗,さんずいに干
漢,さんずいに𦰩
漢,1989年に習う学年が変更されました。（四年生で習う漢字→三年生で習う漢字）
澗,さんずいに間
澗,さんずいに門に日
環,おうへん・たまへんに睘
看,目（め）に龵
竿,たけかんむりに干
管,たけかんむりに官
簡,たけかんむりに間
緩,糸（いとへん）に爰
翰,羽（はね）に倝
翰,羽（はね）に龺に人
肝,にくづきに干
艦,ふねへんに監
莞,くさかんむりに完
諌,言（ごんべん）に東
貫,貝（かい・こがい）に毌
還,しんにょう・しんにゅうに睘
鑑,かねへんに監
鑑,「かんがみる」は高校で習う読み方です。
間,門（もんがまえ・かどがまえ）に日
閑,門（もんがまえ・かどがまえ）に木
関,門（もんがまえ・かどがまえ）に关
陥,「おとしいれる」は高校で習う読み方です。
韓,韋（なめしがわ）に𠦝
韓,2010年11月30日に常用漢字に追加されました。
館,しょくへんに官
舘,舍に官
含,口（くち）に今
岸,山（やま・やまかんむり）に厈
岸,屵に干
巌,山（やま・やまかんむり）に厳
玩,おうへん・たまへんに元
玩,2010年11月30日に常用漢字に追加されました。
癌,やまいだれに嵒
癌,やまいだれに品に山
眼,めへんに艮
眼,「まなこ」は中学校で習う読み方、「ゲン」は高校で習う読み方です。
岩,山（やま・やまかんむり）に石
岩,1989年に習う学年が変更されました。（三年生で習う漢字→二年生で習う漢字）
翫,に元
翫,羽（はね）に白に元
贋,貝（かい・こがい）に雁
雁,隹（ふるとり）に厂に亻
頑,頁（おおがい・いちのかい）に元
顔,頁（おおがい・いちのかい）に彦
願,頁（おおがい・いちのかい）に原
企,人（ひとやね・ひとがしら）に止
伎,にんべんに支
伎,2010年11月30日に常用漢字に追加されました。
危,わりふ・まげわりふに厃
危,「あやうい」「あやぶむ」は中学校で習う読み方です。
喜,口（くち）に壴
喜,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
器,「うつわ」は中学校で習う読み方です。
基,土（つち）に其
基,「もと」は中学校で習う読み方、「もとい」は高校で習う読み方です。
奇,大（だいかんむり・だいがしら）に可
奇,「畸」の書きかえとして用いられる字。
嬉,女（おんなへん）に喜
寄,うかんむりに奇
岐,やまへんに支
岐,「キ」は中学校で習う読み方です。
岐,2020年に教育漢字に追加されました。（中学校で習う漢字→四年生で習う漢字）
希,巾（はば）に𠂇に㐅
希,㐅に布
幾,幺（よう・いとがしら）に幺に戍
幾,𢆶に戍
忌,心（こころ）に己
忌,「いむ」「いまわしい」は高校で習う読み方です。
揮,てへんに軍
机,きへんに几
机,「キ」は中学校で習う読み方です。
期,月（つき）に其
期,「ゴ」は高校で習う読み方です。
棋,きへんに其
棄,木（き）に𠫓に丗
機,きへんに幾
機,「はた」は中学校で習う読み方です。
機,「機」は書き順を間違えやすい漢字の一つです。→「機」の書き順（筆順）
毅,殳（るまた・ほこづくり）に豙
気,气（きがまえ）に㐅
気,「気」は書き順を間違えやすい漢字の一つです。→「気」の書き順（筆順）
汽,さんずいに气
祈,しめすへんに斤
季,子（こ）に禾
稀,禾（のぎへん）に希
稀,「希」が書きかえとして用いられる字。
紀,糸（いとへん）に己
紀,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
規,見（みる）に夫
記,言（ごんべん）に己
貴,貝（かい・こがい）に𠀐
貴,「たっとい」「とうとい」「たっとぶ」「とうとぶ」は中学校で習う読み方です。
起,そうにょうに己
軌,くるまへんに九
輝,車（くるま）に光に冖
輝,光に軍
飢,しょくへんに几
騎,うまへんに奇
偽,にんべんに為
偽,「にせ」は高校で習う読み方です。
偽,2007年の「今年の漢字」
儀,にんべんに義
妓,女（おんなへん）に支
宜,うかんむりに且
戯,戈（ほこ・ほこづくり・ほこがまえ）に虚
戯,「たわむれる」は高校で習う読み方です。
技,てへんに支
技,「わざ」は中学校で習う読み方です。
擬,てへんに疑
欺,欠（かける・あくび・けんづくり）に其
犠,うしへんに義
祇,示に氏
義,𦍌（ひつじ）に我
蟻,虫（むしへん）に義
誼,言（ごんべん）に宜
議,言（ごんべん）に義
議,「議」は書き順を間違えやすい漢字の一つです。→「議」の書き順（筆順）
掬,てへんに匊
菊,くさかんむりに匊
鞠,革（かわへん）に匊
吉,口（くち）に士
吃,口（くちへん）に乞
喫,くちへんに契
桔,木（きへん）に吉
橘,木（きへん）に矞
橘,木（きへん）に矛に冏
詰,言（ごんべん）に吉
詰,「キツ」は高校で習う読み方です。
砧,石（いしへん）に占
杵,木（きへん）に午
却,卩（わりふ・ふしづくり）に去
客,うかんむりに各
客,「カク」は中学校で習う読み方です。
脚,にくづきに却
脚,「キャ」は高校で習う読み方です。
虐,「しいたげる」は高校で習う読み方です。
逆,しんにょう・しんにゅうに屰
久,「ク」は高校で習う読み方です。
仇,にんべんに九
休,にんべんに木
吸,口（くちへん）に及
吸,「吸」は書き順を間違えやすい漢字の一つです。→「吸」の書き順（筆順）
宮,うかんむりに呂
宮,「グウ」は中学校で習う読み方、「ク」は高校で習う読み方です。
急,心（こころ）に刍
救,攵（のぶん・ぼくづくり）に求
救,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
朽,きへんに丂
泣,さんずいに立
泣,「キュウ」は中学校で習う読み方です。
泣,1989年に習う学年が変更されました。（六年生で習う漢字→四年生で習う漢字）
灸,火（ひ）に久
球,おうへん・たまへんに求
究,あなかんむりに九
究,「きわめる」は中学校で習う読み方です。
究,「究」は書き順を間違えやすい漢字の一つです。→「究」の書き順（筆順）
窮,あなかんむりに躬
窮,「きわめる」「きわまる」は高校で習う読み方です。
級,糸（いとへん）に及
糾,糸（いとへん）に丩
給,糸（いとへん）に合
去,厶（む）に土
居,しかばね・かばね・しかばねかんむり・かばねだれに古
拒,てへんに巨
拠,てへんに処
渠,さんずいに巨に木
渠,洰に木
虚,「コ」は高校で習う読み方です。
許,言（ごんべん）に午
距,あしへんに巨
鋸,金（かねへん）に居
漁,さんずいに魚
禦,示（しめす）に御
亨,"亠（なべぶた・けいさん・けいさんかんむり）に[[了*https://kanjitisiki.com/syogako/syogaku1/21.html"">口に＜"
享,なべぶた・けいさん・けいさんかんむりに口に子
京,「ケイ」は中学校で習う読み方です。
供,にんべんに共
供,「ク」は高校で習う読み方です。
侠,にんべんに夹
僑,にんべんに喬
僑,にんべんに呑に冋
兇,儿（ひとあし・にんにょう）に凶
兇,「凶」が書きかえとして用いられる字。
競,竞に竞
競,「きそう」は中学校で習う読み方、「せる」は高校で習う読み方です。
凶,凵（うけばこ・かんにょう・かんがまえ）に㐅
凶,「兇」の書きかえとして用いられる字。
協,十（じゅう）に劦
匡,匚（はこがまえ）に王
叫,くちへんに丩
喬,呑に冋
境,土（つちへん・どへん）に竟
境,「ケイ」は中学校で習う読み方です。
峡,やまへんに夹
強,「ゴウ」「しいる」は中学校で習う読み方です。
彊,弓（ゆみへん）に畺
怯,りっしんべんに去
恐,心（こころ）に工に凡
恭,したごころに共
恭,「うやうやしい」は高校で習う読み方です。
挟,てへんに夹
挟,「キョウ」は高校で習う読み方です。
教,攵（のぶん・ぼくづくり）に孝
橋,きへんに喬
橋,きへんに呑に冋
況,さんずいに兄
狂,けものへんに王
狭,けものへんに夹
狭,「キョウ」は高校で習う読み方です。
矯,やへんに喬
矯,やへんに呑に冋
胸,月（にくづき）に匈
胸,「むな」は中学校で習う読み方です。
胸,「胸」は書き順を間違えやすい漢字の一つです。→「胸」の書き順（筆順）
脅,肉（にく）に劦
脅,「おびやかす」は高校で習う読み方です。
興,「おこる」「おこす」は高校で習う読み方です。
蕎,くさかんむりに喬
蕎,くさかんむりに呑に冋
郷,「ゴウ」は中学校で習う読み方です。
鏡,かねへんに竟
響,音（おと）に郷
饗,食（しょく）に鄕
驚,馬（うま）に敬
仰,にんべんに卬
仰,「おおせ」は高校で習う読み方です。
凝,にすいに疑
暁,ひへん・にちへんに尭
暁,「ギョウ」は高校で習う読み方です。
業,「わざ」は中学校で習う読み方、「ゴウ」は高校で習う読み方です。
業,「業」は書き順を間違えやすい漢字の一つです。→「業」の書き順（筆順）
曲,※曲の成り立ちには諸説あり、L字型のさしがねの象形という説もあります。
極,きへんに亟
極,「ゴク」「きわめる」「きわまる」「きわみ」は中学校で習う読み方です。
玉,王に丶
玉,1989年に習う学年が変更されました。（二年生で習う漢字→一年生で習う漢字）
桐,木（きへん）に同
粁,米（こめへん）に千
僅,にんべんに堇
僅,2010年11月30日に常用漢字に追加されました。
勤,「ゴン」は高校で習う読み方です。
均,土（つちへん・どへん）に匀
錦,かねへんに帛
錦,2010年11月30日に常用漢字に追加されました。
欣,欠（かける・あくび・けんづくり）に斤
欽,欠（かける・あくび・けんづくり）に金
琴,王（おう）に王に今
琴,玨に今
禁,示（しめす）に林
筋,竹（たけかんむり）に肋
緊,糸（いと）に臤
芹,くさかんむりに斤
菌,くさかんむりに囷
衿,ころもへんに今
襟,ころもへんに禁
襟,「キン」は高校で習う読み方です。
近,しんにょう・しんにゅうに斤
吟,くちへんに今
銀,かねへんに艮
九,「九」は書き順を間違えやすい漢字の一つです。→「九」の書き順（筆順）
九,証書・契約書などで改ざんや誤りを防ぐために、「玖」を用いる場合があります。
倶,にんべんに具
句,口（くち）に勹
狗,けものへんに句
玖,王（おうへん・たまへん）に久
玖,証書・契約書などで改ざんや誤りを防ぐために、「九」の代わりとして用いる場合があります。
矩,矢（やへん）に巨
苦,くさかんむりに古
躯,身（み・みへん）に区
駆,うまへんに区
駈,うまへんに丘
駒,うまへんに句
駒,2010年11月30日に常用漢字に追加されました。
具,※具の成り立ちは上記の組み合わせ以外の説もあります。
愚,心（こころ）に禺
虞,とらがしら・とらかんむり・とらに呉
喰,口（くちへん）に食
空,あなかんむりに工
偶,にんべんに禺
寓,宀（うかんむり）に禺
遇,しんにょう・しんにゅうに禺
隅,こざとへんに禺
櫛,木（きへん）に節
釧,金（かねへん）に川
屑,尸（しかばね・かばね・しかばねかんむり・かばねだれ）に
屈,しかばね・かばね・しかばねかんむり・かばねだれに出
掘,てへんに屈
窟,あなかんむりに屈
窟,2010年11月30日に常用漢字に追加されました。
沓,水に日
沓,※当サイトの部首では、「曰部」に分類していますが、「水（みず）」に分類される場合もあります。
靴,革（かわへん）に化
靴,革（かわへん）に亻に匕
轡,車（くるま）に絲に口
窪,あなかんむりに洼
窪,あなかんむりに氵に圭
熊,れっか・れんがに能
熊,2010年11月30日に常用漢字に追加されました。
隈,こざとへんに畏
粂,米（こめ）に久
栗,木（き）に覀
繰,糸（いとへん）に喿
桑,木（き）に叒
桑,「ソウ」は高校で習う読み方です。
鍬,金（かねへん）に秋
勲,力（ちから）に重に灬
勲,動に灬
君,口（くち）に尹
薫,くさかんむりに重に灬
薫,「クン」は高校で習う読み方です。
訓,言（ごんべん）に川
訓,1989年に習う学年が変更されました。（五年生で習う漢字→四年生で習う漢字）
群,羊（ひつじ）に君
軍,車（くるま）に冖
郡,おおざとに君
卦,卜（と・ぼく・ぼくのと・うらない）に圭
袈,衣（ころも）に加
祁,示に阝
祁,※当サイトでは「示部」の部首に分類していますが、「邑部（おおざと）」に分類される場合もあります。
係,にんべんに系
傾,にんべんに頃
刑,りっとうに开
兄,儿（ひとあし・にんにょう）に口
兄,「ケイ」は中学校で習う読み方です。
兄,1989年に習う学年が変更されました。（三年生で習う漢字→二年生で習う漢字）
啓,口（くち）に戸に攵
圭,土（つち）に土
珪,王（おうへん・たまへん）に圭
型,土（つち）に刑
型,2020年に習う学年が変更されました。（四年生で習う漢字→五年生で習う漢字）
契,「ちぎる」は高校で習う読み方です。
形,彡（さんづくり・けかざり）に开
径,ぎょうにんべんに圣
径,1989年に習う学年が変更されました。（六年生で習う漢字→四年生で習う漢字）
恵,心（こころ）に𤰔
慧,心（こころ）に彗
憩,心（こころ）に舌に自
憩,「いこう」は高校で習う読み方です。
携,てへんに隽
敬,のぶん・ぼくづくりに苟
景,日（ひ・にち）に京
桂,木（きへん）に圭
畦,田（たへん）に圭
稽,禾（のぎへん）に尤に旨
稽,2010年11月30日に常用漢字に追加されました。
経,糸（いとへん）に圣
